epoch,binary_accuracy,loss,val_binary_accuracy,val_loss
0,0.9005377888679504,0.24912294745445251,0.8895351886749268,0.29992642998695374
1,0.904242217540741,0.2407987117767334,0.868190586566925,0.2624114155769348
2,0.9072675704956055,0.23524080216884613,0.8583044409751892,0.26114264130592346
3,0.908154308795929,0.23346152901649475,0.867071807384491,0.2809831500053406
4,0.9082858562469482,0.23493562638759613,0.8616609573364258,0.27801862359046936
5,0.9079487323760986,0.23569653928279877,0.8614199161529541,0.2908535897731781
6,0.9079837203025818,0.2363434135913849,0.8929206132888794,0.2808016836643219
7,0.908418595790863,0.23503346741199493,0.8824750185012817,0.2380352020263672
8,0.9088404774665833,0.23407809436321259,0.9012152552604675,0.2534918785095215
9,0.9094922542572021,0.23347465693950653,0.9006173014640808,0.22436408698558807
