epoch,binary_accuracy,loss,val_binary_accuracy,val_loss
0,0.8996191024780273,0.24973562359809875,0.8570119738578796,0.28027281165122986
1,0.9055341482162476,0.23529456555843353,0.8587865233421326,0.26331058144569397
2,0.9103209972381592,0.22685450315475464,0.8780187964439392,0.23126010596752167
3,0.9129086136817932,0.22129099071025848,0.8742669224739075,0.23601803183555603
4,0.9140552282333374,0.21880261600017548,0.8763214945793152,0.24567686021327972
5,0.9145322442054749,0.21824494004249573,0.8732253909111023,0.2452482432126999
6,0.91489577293396,0.2177918702363968,0.8808738589286804,0.22403068840503693
7,0.9145829081535339,0.21824169158935547,0.8769097924232483,0.21800731122493744
8,0.9144978523254395,0.2179044485092163,0.8843172192573547,0.21873852610588074
9,0.9149714112281799,0.21697816252708435,0.8831115961074829,0.2135014832019806
