epoch,binary_accuracy,loss,val_binary_accuracy,val_loss
0,0.8984093070030212,0.2556058466434479,0.8591533303260803,0.2582648992538452
1,0.9039860367774963,0.24317079782485962,0.8695505857467651,0.2578083276748657
2,0.9079096913337708,0.23558135330677032,0.87629234790802,0.23534777760505676
3,0.9103052020072937,0.22964482009410858,0.8773823380470276,0.2353224754333496
4,0.9116108417510986,0.2256181240081787,0.8768517971038818,0.23308053612709045
5,0.9125832915306091,0.22294360399246216,0.8822917342185974,0.22943249344825745
6,0.913629412651062,0.22056478261947632,0.8812500834465027,0.22934310138225555
7,0.9143349528312683,0.21828506886959076,0.88847416639328,0.21900005638599396
8,0.9144270420074463,0.217637836933136,0.8915123343467712,0.20897437632083893
9,0.9148164987564087,0.21679015457630157,0.8911361694335938,0.2089594155550003
